b,e,d,a,alignment,families
15,22,13,11,0.827759135,dr_d_4;parity_10;composite_edge
15,23,14,13,0.803255218,dr_d_5;parity_11;prime_edge
15,24,15,15,0.779688187,dr_d_6;parity_10;composite_edge
16,1,17,18,0.839060778,dr_d_8;parity_01;composite_edge
16,2,18,20,0.856586153,dr_d_9;parity_00;prime_edge
16,3,19,22,0.870176538,dr_d_1;parity_01;prime_edge
16,4,20,24,0.880704846,dr_d_2;parity_00;composite_edge
16,5,21,2,0.970998180,dr_d_3;parity_01;prime_edge
16,6,22,4,0.954785924,dr_d_4;parity_00;composite_edge
16,7,23,6,0.934953438,dr_d_5;parity_01;prime_edge
16,8,24,8,0.912870929,dr_d_6;parity_00;composite_edge
16,9,1,10,0.878458592,dr_d_1;parity_01;composite_edge
16,10,2,12,0.881917104,dr_d_2;parity_00;composite_edge
16,11,3,14,0.879315573,dr_d_3;parity_01;prime_edge
16,12,4,16,0.872871561,dr_d_4;parity_00;composite_edge
16,13,5,18,0.864158565,dr_d_5;parity_01;prime_edge
16,14,6,20,0.854242196,dr_d_6;parity_00;composite_edge
16,15,7,22,0.843819624,dr_d_7;parity_01;composite_edge
16,16,8,24,0.833333333,dr_d_8;parity_00;composite_edge
16,17,9,2,0.929669680,dr_d_9;parity_01;prime_edge
16,18,10,4,0.911295655,dr_d_1;parity_00;composite_edge
16,19,11,6,0.889574994,dr_d_2;parity_01;prime_edge
16,20,12,8,0.866025404,dr_d_3;parity_00;composite_edge
16,21,13,10,0.841779147,dr_d_4;parity_01;composite_edge
16,22,14,12,0.817629818,dr_d_5;parity_00;composite_edge
16,23,15,14,0.794101388,dr_d_6;parity_01;prime_edge
16,24,16,16,0.771516750,dr_d_7;parity_00;composite_edge
17,1,18,19,0.837885005,dr_d_9;parity_11;prime_edge
17,2,19,21,0.854747686,dr_d_1;parity_10;prime_edge
17,3,20,23,0.868022887,dr_d_2;parity_11;prime_edge
17,4,21,1,0.983123999,dr_d_3;parity_10;prime_edge
17,5,22,3,0.970762166,dr_d_4;parity_11;prime_edge
17,6,23,5,0.954004792,dr_d_5;parity_10;prime_edge
17,7,24,7,0.934234100,dr_d_6;parity_11;prime_edge
17,8,1,9,0.881482555,dr_d_1;parity_10;prime_edge
17,9,2,11,0.889898417,dr_d_2;parity_11;prime_edge
17,10,3,13,0.890870806,dr_d_3;parity_10;prime_edge
17,11,4,15,0.886838393,dr_d_4;parity_11;prime_edge
17,12,5,17,0.879637262,dr_d_5;parity_10;prime_edge
17,13,6,19,0.870571500,dr_d_6;parity_11;prime_edge
17,14,7,21,0.860530546,dr_d_7;parity_10;prime_edge
17,15,8,23,0.850102284,dr_d_8;parity_11;prime_edge
17,16,9,1,0.931891116,dr_d_9;parity_10;prime_edge
17,17,10,3,0.917245417,dr_d_1;parity_11;prime_edge
17,18,11,5,0.898322254,dr_d_2;parity_10;prime_edge
17,19,12,7,0.876745843,dr_d_3;parity_11;prime_edge
17,20,13,9,0.853795635,dr_d_4;parity_10;prime_edge
17,21,14,11,0.830415139,dr_d_5;parity_11;prime_edge
17,22,15,13,0.807261390,dr_d_6;parity_10;prime_edge
